1,29,1,,,,,,,,,,,,SERVICE DEPT,,,,team1,Randy,,,,service channel                    ,,direct,,,,,T
2,1,1,,,,,,,,,,,,SERVICE DEPT,,,,team1,Ellen,,,,service channel                    ,,direct,,,,,T
3,2,1,,,,,,,,,,,,SERVICE DEPT,,,,team2,Clare,,,,service channel                    ,,direct,,,,,T
4,3,1,,,,,,,,,,,,SERVICE DEPT,,,,team2,Brad,,,,service channel                    ,,direct,,,,,T
5,4,1,,,,,,,,,,,,SERVICE DEPT,,,,team2,Paul,,,,service channel                    ,,direct,,,,,T
6,5,1,,,,,,,,,,,,SALES DEPT,,,,7days,Steve,,,,sales channel                      ,,chains,,,,,T
7,6,1,,,,,,,,,,,,SALES DEPT,,,,7days,Chris,,,,sales channel                      ,,chains,,,,,T
8,7,1,,,,,,,,,,,,SALES DEPT,,,,7days,Dean,,,,sales channel                      ,,chains,,,,,T
9,8,1,,,,,,,,,,,,SALES DEPT,,,,Try&Buy,Bob,,,,sales channel                      ,,chains,,,,,T
10,9,1,,,,,,,,,,,,SALES DEPT,,,,Try&Buy,Sue,,,,sales channel                      ,,chains,,,,,T
11,10,1,,,,,,,,,,,,SALES DEPT,,,,Try&Buy,Bev,,,,sales channel                      ,,chains,,,,,T
12,11,1,,,,,,,,,,,,SALES DEPT,,,,Try&Buy,Cathy,,,,sales channel                      ,,chains,,,,,T
13,12,1,,,,,,,,,,,,SALES DEPT,,,,MobilesR Us,Ron,,,,sales channel                      ,,chains,,,,,T
14,13,1,,,,,,,,,,,,SALES DEPT,,,,MobilesR Us,John,,,,sales channel                      ,,chains,,,,,T
15,14,1,,,,,,,,,,,,SALES DEPT,,,,MobilesR Us,Kate,,,,sales channel                      ,,chains,,,,,T
16,15,1,,,,,,,,,,,,SALES DEPT,,,,A-Tel,Mike,,,,sales channel                      ,,Internet,,,,,T
17,16,1,,,,,,,,,,,,SALES DEPT,,,,A-Tel,Mark,,,,sales channel                      ,,Internet,,,,,T
18,17,1,,,,,,,,,,,,SALES DEPT,,,,A-Tel,Tom,,,,sales channel                      ,,Internet,,,,,T
19,18,1,,,,,,,,,,,,SALES DEPT,,,,B-Tel,Tim,,,,sales channel                      ,,Internet,,,,,T
20,19,1,,,,,,,,,,,,SALES DEPT,,,,B-Tel,Sam,,,,sales channel                      ,,Internet,,,,,T
21,20,1,,,,,,,,,,,,SERVICE DEPT,,,,Campaign Center1,Joan,,,,marketing channel                  ,,ONE-TO-ONE,,,,,T
22,21,1,,,,,,,,,,,,SERVICE DEPT,,,,Campaign Center1,Jill,,,,marketing channel                  ,,ONE-TO-ONE,,,,,T
23,22,1,,,,,,,,,,,,SERVICE DEPT,,,,Campaign Center1,Jane,,,,marketing channel                  ,,ONE-TO-ONE,,,,,T
