1,,,8081,SICKLERVILLE,,,,,,,,,,,,,,NJ,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
2,,,13210,SYRACUSE,,,,,,,,,,,,,,NY,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
3,,,1001,AGAWAM,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
4,,,1002,AMHERST,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
5,,,1060,NORTHAMPTON,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
6,,,1062,FLORENCE,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
7,,,1075,SOUTH HADLEY,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
8,,,1119,SPRINGFIELD,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
9,,,1247,NORTH ADAMS,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
10,,,1267,WILLIAMSTOWN,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
11,,,1351,MONTAGUE,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
12,,,1370,SHELBURNE FLS,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
13,,,1463,PEPPERELL,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
14,,,1501,AUBURN,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
15,,,1524,LEICESTER,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
16,,,1527,MILLBURY,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
17,,,1532,NORTHBOROUGH,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
18,,,1543,RUTLAND,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
19,,,1545,SHREWSBURY,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
20,,,1581,WESTBOROUGH,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
21,,,1604,WORCESTER,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
22,,,1606,WORCESTER,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
23,,,1609,WORCESTER,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
24,,,1702,FRAMINGHAM,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
25,,,1720,ACTON,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
26,,,1721,ASHLAND,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
27,,,1731,HANSCOM AFB,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
28,,,1742,CONCORD,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
29,,,1746,HOLLISTON,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
30,,,1754,MAYNARD,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
31,,,1772,SOUTHBOROUGH,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
32,,,1801,WOBURN,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
33,,,1824,CHELMSFORD,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
34,,,1826,DRACUT,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
35,,,1833,GEORGETOWN,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
36,,,1835,HAVERHILL,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
37,,,1843,LAWRENCE,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
38,,,1850,LOWELL,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
39,,,1851,LOWELL,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
40,,,1854,LOWELL,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
41,,,1863,N CHELMSFORD,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
42,,,1867,READING,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
43,,,1923,DANVERS,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
44,,,1930,GLOUCESTER,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
45,,,1938,IPSWICH,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
46,,,1945,MARBLEHEAD,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
47,,,1950,NEWBURYPORT,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
48,,,1966,ROCKPORT,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
49,,,1970,SALEM,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
50,,,2021,CANTON,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
51,,,2025,COHASSET,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
52,,,2030,DOVER,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
53,,,2045,HULL,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
54,,,2048,MANSFIELD,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
55,,,2052,MEDFIELD,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
56,,,2072,STOUGHTON,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
57,,,2109,BOSTON,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
58,,,2110,BOSTON,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
59,,,2113,BOSTON,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
60,,,2114,BOSTON,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
61,,,2115,BOSTON,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
62,,,2116,BOSTON,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
63,,,2118,BOSTON,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
64,,,2120,ROXBURY XING,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
65,,,2122,DORCHESTER,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
66,,,2124,DORCHESTER CENTER,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
67,,,2124,DORCHESTER,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
68,,,2125,DORCHESTER,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
69,,,2125,BOSTON,,,,,,,,,,,,,,MA,,,,NORTHEAST,USA,NA ,USA,,,,,,,T
