1,111,Crop Production,111211,Potato Farming,T
2,111,Crop Production,111411,Mushroom Production,T
3,315,Apparel Manufacturing,3151,Apparel Knitting Mills,T
4,212,Mining (except Oil and Gas),212221,Gold Ore Mining,T
5,111,Crop Production,11113,Dry Pea and Bean Farming,T
6,114,Fishing Hunting and Trapping,11411,Fishing,T
7,212,Mining (except Oil and Gas),212221,Gold Ore Mining,T
8,114,Fishing Hunting and Trapping,114119,Other Marine Fishing,T
9,114,Fishing Hunting and Trapping,1141,Fishing,T
10,111,Crop Production,11121,Vegetable and Melon Farming,T
11,52,Finance and Insurance,5211,Monetary Authorities - Central,T
12,52,Finance and Insurance,52211,Commercial Banking,T
13,315,Apparel Manufacturing,315111,Sheer Hosiery Mills,T
14,52,Finance and Insurance,521,Monetary Authorities - Central,T
15,312,Beverage and Tobacco Product,312111,Soft Drink Manufacturing,T
16,114,Fishing Hunting and Trapping,11411,Fishing,T
17,212,Mining (except Oil and Gas),212231,Lead Ore and Zinc Ore Mining,T
18,315,Apparel Manufacturing,315191,Outerwear Knitting Mills,T
19,114,Fishing Hunting and Trapping,114112,Shellfish Fishing,T
20,111,Crop Production,111419,Other Food Crops Grown Under,T
21,52,Finance and Insurance,522,Credit Intermediation and,T
22,212,Mining (except Oil and Gas),21223,Copper Nickel Lead and Zinc,T
23,111,Crop Production,11111,Soybean Farming,T
24,315,Apparel Manufacturing,31519,Other Apparel Knitting Mills,T
25,315,Apparel Manufacturing,315111,Sheer Hosiery Mills,T
26,52,Finance and Insurance,5221,Depository Credit,T
27,111,Crop Production,11121,Vegetable and Melon Farming,T
28,212,Mining (except Oil and Gas),21223,Copper Nickel Lead and Zinc,T
29,111,Crop Production,11114,Wheat Farming,T
30,511,Publishing Industries,51111,Newspaper Publishers,T
31,315,Apparel Manufacturing,315191,Outerwear Knitting Mills,T
32,52,Finance and Insurance,5221,Depository Credit,T
33,212,Mining (except Oil and Gas),212231,Lead Ore and Zinc Ore Mining,T
34,111,Crop Production,11111,Soybean Farming,T
35,111,Crop Production,1111,Oilseed and Grain Farming,T
36,315,Apparel Manufacturing,31519,Other Apparel Knitting Mills,T
37,312,Beverage and Tobacco Product,31211,Soft Drink and Ice,T
38,315,Apparel Manufacturing,315111,Sheer Hosiery Mills,T
39,315,Apparel Manufacturing,315191,Outerwear Knitting Mills,T
40,221,Utilities,221122,Electric Power Distribution,T
41,312,Beverage and Tobacco Product,312111,Soft Drink Manufacturing,T
42,312,Beverage and Tobacco Product,312111,Soft Drink Manufacturing,T
43,114,Fishing Hunting and Trapping,1142,Hunting and Trapping,T
44,111,Crop Production,1111,Oilseed and Grain Farming,T
45,221,Utilities,22121,Natural Gas Distribution,T
46,212,Mining (except Oil and Gas),21222,Gold Ore and Silver Ore Mining,T
47,315,Apparel Manufacturing,315119,Other Hosiery and Sock Mills,T
48,114,Fishing Hunting and Trapping,114119,Other Marine Fishing,T
49,212,Mining (except Oil and Gas),2122,Metal Ore Mining,T
50,511,Publishing Industries,51111,Newspaper Publishers,T
51,52,Finance and Insurance,5211,Monetary Authorities - Central,T
52,114,Fishing Hunting and Trapping,11411,Fishing,T
53,52,Finance and Insurance,52211,Commercial Banking,T
54,52,Finance and Insurance,522,Credit Intermediation and,T
55,52,Finance and Insurance,5211,Monetary Authorities - Central,T
56,315,Apparel Manufacturing,31511,Hosiery and Sock Mills,T
57,511,Publishing Industries,51112,Periodical Publishers,T
58,511,Publishing Industries,5111,Newspaper Periodical Book,T
59,52,Finance and Insurance,52111,Monetary Authorities - Central,T
60,212,Mining (except Oil and Gas),21222,Gold Ore and Silver Ore Mining,T
61,52,Finance and Insurance,522,Credit Intermediation and,T
62,111,Crop Production,11114,Wheat Farming,T
63,212,Mining (except Oil and Gas),212231,Lead Ore and Zinc Ore Mining,T
64,315,Apparel Manufacturing,315111,Sheer Hosiery Mills,T
65,111,Crop Production,11114,Wheat Farming,T
66,52,Finance and Insurance,5221,Depository Credit,T
67,111,Crop Production,11113,Dry Pea and Bean Farming,T
68,312,Beverage and Tobacco Product,31211,Soft Drink and Ice,T
69,114,Fishing Hunting and Trapping,1141,Fishing,T
70,315,Apparel Manufacturing,31519,Other Apparel Knitting Mills,T
71,212,Mining (except Oil and Gas),2122,Metal Ore Mining,T
72,52,Finance and Insurance,52111,Monetary Authorities - Central,T
73,52,Finance and Insurance,5221,Depository Credit,T
74,114,Fishing Hunting and Trapping,1141,Fishing,T
75,221,Utilities,2211,Electric Power Generation,T
76,212,Mining (except Oil and Gas),212231,Lead Ore and Zinc Ore Mining,T
77,511,Publishing Industries,5111,Newspaper Periodical Book,T
78,111,Crop Production,11113,Dry Pea and Bean Farming,T
79,212,Mining (except Oil and Gas),212221,Gold Ore Mining,T
80,111,Crop Production,11112,Oilseed (except Soybean),T
81,212,Mining (except Oil and Gas),212222,Silver Ore Mining,T
82,511,Publishing Industries,51112,Periodical Publishers,T
83,212,Mining (except Oil and Gas),21223,Copper Nickel Lead and Zinc,T
84,315,Apparel Manufacturing,3151,Apparel Knitting Mills,T
85,114,Fishing Hunting and Trapping,114111,Finfish Fishing,T
86,221,Utilities,22121,Natural Gas Distribution,T
87,111,Crop Production,11141,Food Crops Grown Under Cover,T
88,114,Fishing Hunting and Trapping,114111,Finfish Fishing,T
89,52,Finance and Insurance,5221,Depository Credit,T
90,221,Utilities,22121,Natural Gas Distribution,T
91,315,Apparel Manufacturing,31511,Hosiery and Sock Mills,T
92,221,Utilities,221111,Hydroelectric Power Generation,T
93,511,Publishing Industries,5111,Newspaper Periodical Book,T
94,221,Utilities,2211,Electric Power Generation,T
95,221,Utilities,22121,Natural Gas Distribution,T
96,212,Mining (except Oil and Gas),212222,Silver Ore Mining,T
97,111,Crop Production,11121,Vegetable and Melon Farming,T
98,212,Mining (except Oil and Gas),2122,Metal Ore Mining,T
99,221,Utilities,2211,Electric Power Generation,T
100,511,Publishing Industries,51112,Periodical Publishers,T
101,52,Finance and Insurance,521,Monetary Authorities - Central,T
102,52,Finance and Insurance,52211,Commercial Banking,T
103,52,Finance and Insurance,521,Monetary Authorities - Central,T
104,315,Apparel Manufacturing,31511,Hosiery and Sock Mills,T
105,111,Crop Production,1112,Vegetable and Melon Farming,T
106,114,Fishing Hunting and Trapping,114119,Other Marine Fishing,T
107,111,Crop Production,11114,Wheat Farming,T
108,111,Crop Production,1111,Oilseed and Grain Farming,T
109,315,Apparel Manufacturing,315111,Sheer Hosiery Mills,T
110,221,Utilities,22121,Natural Gas Distribution,T
111,52,Finance and Insurance,5211,Monetary Authorities - Central,T
112,511,Publishing Industries,51111,Newspaper Publishers,T
113,221,Utilities,2211,Electric Power Generation,T
114,212,Mining (except Oil and Gas),212111,Bituminous Coal and Lignite,T
115,221,Utilities,2211,Electric Power Generation,T
116,315,Apparel Manufacturing,315191,Outerwear Knitting Mills,T
117,52,Finance and Insurance,5221,Depository Credit,T
118,111,Crop Production,11141,Food Crops Grown Under Cover,T
119,315,Apparel Manufacturing,315191,Outerwear Knitting Mills,T
120,111,Crop Production,111211,Potato Farming,T
121,111,Crop Production,11113,Dry Pea and Bean Farming,T
122,111,Crop Production,11141,Food Crops Grown Under Cover,T
123,52,Finance and Insurance,521,Monetary Authorities - Central,T
124,315,Apparel Manufacturing,31519,Other Apparel Knitting Mills,T
125,212,Mining (except Oil and Gas),2121,Coal Mining,T
126,111,Crop Production,1111,Oilseed and Grain Farming,T
127,52,Finance and Insurance,5211,Monetary Authorities - Central,T
128,221,Utilities,221122,Electric Power Distribution,T
129,52,Finance and Insurance,521,Monetary Authorities - Central,T
130,221,Utilities,2211,Electric Power Generation,T
131,52,Finance and Insurance,521,Monetary Authorities - Central,T
132,114,Fishing Hunting and Trapping,114111,Finfish Fishing,T
133,111,Crop Production,111211,Potato Farming,T
134,315,Apparel Manufacturing,3151,Apparel Knitting Mills,T
135,111,Crop Production,11141,Food Crops Grown Under Cover,T
136,114,Fishing Hunting and Trapping,1142,Hunting and Trapping,T
137,315,Apparel Manufacturing,315111,Sheer Hosiery Mills,T
138,212,Mining (except Oil and Gas),212112,Bituminous Coal Underground,T
139,212,Mining (except Oil and Gas),212221,Gold Ore Mining,T
140,114,Fishing Hunting and Trapping,1142,Hunting and Trapping,T
141,511,Publishing Industries,51111,Newspaper Publishers,T
142,511,Publishing Industries,5111,Newspaper Periodical Book,T
143,111,Crop Production,111419,Other Food Crops Grown Under,T
144,315,Apparel Manufacturing,315191,Outerwear Knitting Mills,T
145,52,Finance and Insurance,52111,Monetary Authorities - Central,T
146,315,Apparel Manufacturing,315191,Outerwear Knitting Mills,T
147,312,Beverage and Tobacco Product,3121,Beverage Manufacturing,T
148,315,Apparel Manufacturing,31519,Other Apparel Knitting Mills,T
149,221,Utilities,22111,Electric Power Generation,T
150,315,Apparel Manufacturing,315119,Other Hosiery and Sock Mills,T
151,212,Mining (except Oil and Gas),21223,Copper Nickel Lead and Zinc,T
152,212,Mining (except Oil and Gas),212221,Gold Ore Mining,T
153,114,Fishing Hunting and Trapping,1142,Hunting and Trapping,T
154,114,Fishing Hunting and Trapping,11411,Fishing,T
155,221,Utilities,2211,Electric Power Generation,T
156,111,Crop Production,11112,Oilseed (except Soybean),T
157,315,Apparel Manufacturing,315111,Sheer Hosiery Mills,T
158,221,Utilities,22111,Electric Power Generation,T
159,111,Crop Production,111211,Potato Farming,T
160,212,Mining (except Oil and Gas),21221,Iron Ore Mining,T
161,111,Crop Production,11113,Dry Pea and Bean Farming,T
162,52,Finance and Insurance,5211,Monetary Authorities - Central,T
163,212,Mining (except Oil and Gas),212231,Lead Ore and Zinc Ore Mining,T
164,111,Crop Production,11115,Corn Farming,T
165,111,Crop Production,11115,Corn Farming,T
166,212,Mining (except Oil and Gas),212231,Lead Ore and Zinc Ore Mining,T
167,212,Mining (except Oil and Gas),21221,Iron Ore Mining,T
168,212,Mining (except Oil and Gas),212112,Bituminous Coal Underground,T
169,111,Crop Production,11114,Wheat Farming,T
170,114,Fishing Hunting and Trapping,1141,Fishing,T
171,315,Apparel Manufacturing,315119,Other Hosiery and Sock Mills,T
172,111,Crop Production,11113,Dry Pea and Bean Farming,T
173,312,Beverage and Tobacco Product,3121,Beverage Manufacturing,T
174,315,Apparel Manufacturing,315111,Sheer Hosiery Mills,T
175,212,Mining (except Oil and Gas),21222,Gold Ore and Silver Ore Mining,T
176,315,Apparel Manufacturing,3151,Apparel Knitting Mills,T
177,221,Utilities,221122,Electric Power Distribution,T
178,212,Mining (except Oil and Gas),21223,Copper Nickel Lead and Zinc,T
179,111,Crop Production,1112,Vegetable and Melon Farming,T
180,315,Apparel Manufacturing,315119,Other Hosiery and Sock Mills,T
181,315,Apparel Manufacturing,315111,Sheer Hosiery Mills,T
182,52,Finance and Insurance,52211,Commercial Banking,T
183,111,Crop Production,1114,Greenhouse Nursery and,T
184,312,Beverage and Tobacco Product,3121,Beverage Manufacturing,T
185,511,Publishing Industries,51112,Periodical Publishers,T
186,212,Mining (except Oil and Gas),2122,Metal Ore Mining,T
187,52,Finance and Insurance,52211,Commercial Banking,T
188,312,Beverage and Tobacco Product,312111,Soft Drink Manufacturing,T
189,111,Crop Production,11141,Food Crops Grown Under Cover,T
190,511,Publishing Industries,5111,Newspaper Periodical Book,T
191,52,Finance and Insurance,522,Credit Intermediation and,T
192,315,Apparel Manufacturing,315119,Other Hosiery and Sock Mills,T
193,315,Apparel Manufacturing,315111,Sheer Hosiery Mills,T
194,114,Fishing Hunting and Trapping,114111,Finfish Fishing,T
195,312,Beverage and Tobacco Product,312111,Soft Drink Manufacturing,T
196,212,Mining (except Oil and Gas),21222,Gold Ore and Silver Ore Mining,T
197,315,Apparel Manufacturing,31511,Hosiery and Sock Mills,T
198,511,Publishing Industries,5111,Newspaper Periodical Book,T
199,221,Utilities,221111,Hydroelectric Power Generation,T
200,212,Mining (except Oil and Gas),212221,Gold Ore Mining,T
201,111,Crop Production,1111,Oilseed and Grain Farming,T
202,52,Finance and Insurance,521,Monetary Authorities - Central,T
203,111,Crop Production,11121,Vegetable and Melon Farming,T
204,315,Apparel Manufacturing,3151,Apparel Knitting Mills,T
205,111,Crop Production,11111,Soybean Farming,T
206,511,Publishing Industries,5111,Newspaper Periodical Book,T
207,212,Mining (except Oil and Gas),21211,Coal Mining,T
208,111,Crop Production,1111,Oilseed and Grain Farming,T
209,111,Crop Production,111419,Other Food Crops Grown Under,T
210,114,Fishing Hunting and Trapping,11411,Fishing,T
211,111,Crop Production,11113,Dry Pea and Bean Farming,T
212,111,Crop Production,111211,Potato Farming,T
213,111,Crop Production,1111,Oilseed and Grain Farming,T
214,212,Mining (except Oil and Gas),21211,Coal Mining,T
215,111,Crop Production,11115,Corn Farming,T
216,52,Finance and Insurance,522,Credit Intermediation and,T
217,212,Mining (except Oil and Gas),21221,Iron Ore Mining,T
218,221,Utilities,22111,Electric Power Generation,T
219,111,Crop Production,11121,Vegetable and Melon Farming,T
220,111,Crop Production,111419,Other Food Crops Grown Under,T
221,52,Finance and Insurance,5211,Monetary Authorities - Central,T
222,221,Utilities,221111,Hydroelectric Power Generation,T
223,52,Finance and Insurance,5221,Depository Credit,T
224,212,Mining (except Oil and Gas),2121,Coal Mining,T
225,114,Fishing Hunting and Trapping,114111,Finfish Fishing,T
226,111,Crop Production,11121,Vegetable and Melon Farming,T
227,221,Utilities,2211,Electric Power Generation,T
228,111,Crop Production,111411,Mushroom Production,T
229,111,Crop Production,111411,Mushroom Production,T
230,52,Finance and Insurance,5221,Depository Credit,T
231,212,Mining (except Oil and Gas),21211,Coal Mining,T
232,111,Crop Production,111419,Other Food Crops Grown Under,T
233,111,Crop Production,1112,Vegetable and Melon Farming,T
234,52,Finance and Insurance,52111,Monetary Authorities - Central,T
235,114,Fishing Hunting and Trapping,114111,Finfish Fishing,T
236,212,Mining (except Oil and Gas),21221,Iron Ore Mining,T
237,221,Utilities,2211,Electric Power Generation,T
238,212,Mining (except Oil and Gas),21222,Gold Ore and Silver Ore Mining,T
239,315,Apparel Manufacturing,31519,Other Apparel Knitting Mills,T
240,111,Crop Production,1111,Oilseed and Grain Farming,T
241,111,Crop Production,111211,Potato Farming,T
242,114,Fishing Hunting and Trapping,11411,Fishing,T
243,212,Mining (except Oil and Gas),212221,Gold Ore Mining,T
244,111,Crop Production,1112,Vegetable and Melon Farming,T
245,315,Apparel Manufacturing,31519,Other Apparel Knitting Mills,T
246,111,Crop Production,11112,Oilseed (except Soybean),T
247,315,Apparel Manufacturing,315191,Outerwear Knitting Mills,T
248,52,Finance and Insurance,5221,Depository Credit,T
249,114,Fishing Hunting and Trapping,114119,Other Marine Fishing,T
250,114,Fishing Hunting and Trapping,114111,Finfish Fishing,T
251,111,Crop Production,1111,Oilseed and Grain Farming,T
252,114,Fishing Hunting and Trapping,114112,Shellfish Fishing,T
